Date,M-3,M-6,M-9,M-12
2011-09-01,101.76,107.78,88.96,82.11
2011-09-02,100.56,106.98,89.65,82.49
2011-09-06,100.71,107.41,90.09,82.26
2011-09-07,102.22,105.56,89.82,82.96
2011-09-08,103.31,104.22,90.38,83.22
2011-09-09,100.88,104.12,90.35,82.32
2011-09-12,98.82,99.89,90.3,82.68
2011-09-13,100.71,100.95,89.78,83.44
2011-09-14,96.11,104.27,90.6,83.67
2011-09-15,96.15,103.6,90.72,83.46
2011-09-16,94.23,105.0,91.37,82.5
2011-09-19,94.46,106.56,91.16,82.45
2011-09-20,94.96,106.89,91.24,83.27
2011-09-21,92.78,105.87,92.99,82.11
2011-09-22,92.24,106.48,93.79,82.85
2011-09-23,94.57,106.32,93.57,82.48
2011-09-26,96.36,108.35,94.0,82.78
2011-09-27,97.04,109.42,93.76,84.38
2011-09-28,96.61,110.26,92.95,85.83
2011-09-29,98.37,110.4,94.48,87.12
2011-09-30,98.02,110.81,94.89,86.63
2011-10-03,100.07,111.95,93.71,87.97
2011-10-04,97.72,114.29,95.15,88.12
2011-10-05,96.64,111.88,94.09,86.56
2011-10-06,98.74,108.67,92.96,87.46
2011-10-07,99.36,109.29,94.73,87.31
2011-10-10,97.06,109.77,96.14,86.99
2011-10-11,98.46,111.18,96.27,87.85
2011-10-12,97.12,108.67,95.95,87.38
2011-10-13,98.68,109.21,96.5,86.0
2011-10-14,99.22,112.29,96.36,87.86
2011-10-17,99.85,113.11,96.19,84.52
2011-10-18,100.58,113.02,94.83,86.45
2011-10-19,100.05,113.12,95.17,84.83
2011-10-20,100.46,113.68,94.37,85.9
2011-10-21,100.88,113.64,94.69,86.16
2011-10-24,98.82,113.67,93.39,86.74
2011-10-25,98.82,114.73,95.35,86.79
2011-10-26,97.08,114.33,95.13,86.54
2011-10-27,96.27,111.95,97.67,86.78
2011-10-28,95.08,110.26,99.32,85.86
2011-10-31,93.24,101.0,99.33,87.23
2011-11-01,87.96,98.72,100.21,88.01
2011-11-02,88.29,103.97,99.86,88.82
2011-11-03,82.7,105.52,98.57,90.21
2011-11-04,80.61,99.62,98.18,90.58
2011-11-07,84.14,100.46,98.55,90.91
2011-11-08,86.82,101.23,98.98,90.6
2011-11-09,86.44,99.14,98.25,90.98
2011-11-10,88.85,98.79,97.7,91.08
2011-11-11,87.56,101.52,98.24,88.38
2011-11-14,88.42,100.28,96.6,88.37
2011-11-15,83.19,101.36,96.9,86.36
2011-11-16,83.17,99.27,96.41,84.86
2011-11-17,85.03,101.21,97.58,86.14
2011-11-18,86.11,102.94,99.74,85.32
2011-11-21,86.37,102.4,101.96,85.17
2011-11-22,86.44,102.73,100.97,84.77
2011-11-23,86.45,104.71,102.04,87.22
2011-11-25,88.21,102.46,101.57,87.05
2011-11-28,89.81,102.88,103.93,88.72
2011-11-29,89.88,102.78,105.13,87.05
2011-11-30,89.94,101.55,105.21,89.36
2011-12-01,87.46,101.76,106.38,89.89
2011-12-02,87.05,103.13,107.31,90.04
2011-12-05,90.14,104.0,106.59,89.5
2011-12-06,89.7,101.84,107.3,90.24
2011-12-07,87.93,99.83,105.48,90.32
2011-12-08,88.64,101.6,104.17,90.24
2011-12-09,90.52,97.07,104.15,89.68
2011-12-12,89.36,97.19,99.94,90.52
2011-12-13,90.03,95.31,100.94,90.72
2011-12-14,88.73,95.52,104.21,91.45
2011-12-15,86.27,95.96,103.6,91.3
2011-12-16,87.43,97.49,105.04,91.36
2011-12-19,86.46,93.45,106.52,92.3
2011-12-20,80.99,93.74,106.71,92.62
2011-12-21,81.23,94.19,106.44,92.54
2011-12-22,80.69,93.54,106.65,92.88
2011-12-23,80.98,95.86,106.67,93.66
2011-12-27,85.17,97.57,105.6,93.37
2011-12-28,82.0,98.38,106.18,93.76
2011-12-29,82.75,98.1,106.07,93.57
2011-12-30,79.6,99.7,107.99,92.8
2012-01-03,78.25,99.25,108.92,94.31
2012-01-04,76.29,101.32,109.82,94.7
2012-01-05,80.11,99.16,109.99,93.67
2012-01-06,83.09,98.2,110.33,95.16
2012-01-09,83.35,100.12,111.39,94.29
2012-01-10,85.77,100.81,113.67,93.1
2012-01-11,86.37,98.72,111.49,94.93
2012-01-12,86.14,99.94,108.54,96.26
2012-01-13,84.85,98.57,109.24,96.34
2012-01-17,87.22,100.01,109.51,96.06
2012-01-18,87.0,100.51,110.82,96.64
2012-01-19,88.85,101.0,108.41,96.49
2012-01-20,86.6,101.6,108.98,96.3
2012-01-23,87.69,101.94,112.4,95.65
2012-01-24,90.9,100.03,112.29,94.98
2012-01-25,92.41,100.05,112.51,93.72
2012-01-26,90.08,98.34,113.06,95.74
2012-01-27,93.54,97.58,113.09,95.59
2012-01-30,93.09,96.41,114.16,98.11
2012-01-31,92.92,94.56,113.82,99.78
2012-02-01,91.78,89.38,111.5,99.86
2012-02-02,92.05,89.75,109.94,100.78
2012-02-03,93.59,84.24,100.69,100.44
2012-02-06,94.09,82.06,98.47,99.14
2012-02-07,95.39,85.4,103.61,98.78
2012-02-08,96.59,87.93,105.22,99.22
2012-02-09,95.45,87.6,99.41,99.7
2012-02-10,97.45,89.96,100.26,98.97
2012-02-13,98.63,88.66,101.04,98.45
2012-02-14,98.1,89.47,99.08,99.06
2012-02-15,99.27,84.31,98.77,97.38
2012-02-16,102.38,84.47,101.36,97.65
2012-02-17,98.89,86.27,100.28,97.21
2012-02-21,97.62,87.37,101.37,98.4
2012-02-22,97.61,87.81,101.31,98.55
